line_no,section_context,raw_line,days,time_ranges,course_codes,professors,groups,rooms
248,2nd Year — Semester 2-1 (2022 Batch) > Thursday > Section: CB (15)+BT (40),- **4:35 -5:30p.m.**: BT 2111 (P) Dr. Sabeeha,Thursday,4:35 -5,BT 2111,Dr. Sabeeha,,
252,2nd Year — Semester 2-1 (2022 Batch) > Thursday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **08:25 – 9:20 a.m.**: CE 2103 (Mechanics of Materials) Dr. Jayaprakash (ETR 3)/ | BT1102 (only for NT)  Dr. Santosh Thakur (ETR 4),Thursday,08:25 – 9:20,BT1102; CE 2103,Dr. Jayaprakash; Dr. Santosh Thakur,,ETR3; ETR4
253,2nd Year — Semester 2-1 (2022 Batch) > Thursday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **09:25 – 10:20 a.m.**: HS2103 (T) French III  Dr. Balaji Prashanth (ECR 7),Thursday,09:25 – 10:20,HS2103,Dr. Balaji Prashanth,,ECR7
254,2nd Year — Semester 2-1 (2022 Batch) > Thursday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **10:35-11:30 a.m**: MT 2101 (Signals and Systems) Dr. Ramakant(only for MT) (ETR5),Thursday,10:35-11:30,MT 2101,Dr. Ramakant,,ETR5
255,2nd Year — Semester 2-1 (2022 Batch) > Thursday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **4:35 -5:30p.m.**: ME2116 (PDEs for Engineers) (7 Weeks) only for ME   | Dr. Prasad (ETR 3),Thursday,4:35 -5,ME2116,Dr. Prasad,,ETR3
256,2nd Year — Semester 2-1 (2022 Batch) > Thursday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **5:35 pm - 6:30 pm**: CH2103 (Introduction to Nano-technology and Science) Dr. Bill Reynolds; only for NT (ETR 3),Thursday,5:35 pm - 6:30 pm,CH2103,Dr. Bill Reynolds,,ETR3
262,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS1 (83) (355.0 students),- **08:25 – 9:20 a.m.**: EC 2102 (Signals and Systems) Dr. Sayantan (ELT 3)/ | MA2105(Graph Algorithm) Dr. Rakesh (ETR 5),Friday,08:25 – 9:20,EC 2102; MA2105,Dr. Rakesh; Dr. Sayantan,,ELT3; ETR5
263,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS1 (83) (355.0 students),- **11:35 am- 12:30 pm**: CS/AI 2102 (Design and Analysis of Algorithms) (except ECE) |  Dr. Ravi Kishor (Auditorium),Friday,11:35 am- 12:30 pm,CS/AI 2102,Dr. Ravi Kishor,,Auditorium
264,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS1 (83) (355.0 students),- **12:35 pm- 1:30p.m.**: PH2102 (Physics II) Dr. Murtaza (E-LT 3),Friday,12:35 pm- 1,PH2102,Dr. Murtaza,,ELT3
265,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS1 (83) (355.0 students),- **2:35 -3:30p.m.**: HS2103 (T) French III (ECR7) Dr. Kumudham,Friday,2:35 -3,HS2103,Dr. Kumudham,,ECR7
266,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS1 (83) (355.0 students),- **3:35 -4:30p.m.**: HS2102 (Principles of Economics)  Dr. Anagha Tobi (ECR 7),Friday,3:35 -4,HS2102,Dr. Anagha Tobi,,ECR7
270,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS2 (83),- **2:35 -3:30p.m.**: HS2103 (T) French III |  Dr. Sherlin  (ECR 9),Friday,2:35 -3,HS2103,Dr. Sherlin,,ECR9
271,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS2 (83),- **3:35 -4:30p.m.**: HS2102 (Principles of Economics)  Dr. Raju (ECR 9),Friday,3:35 -4,HS2102,Dr. Raju,,ECR9
275,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS3 (83),- **10:35-11:30 a.m**: HS2102(Principles of Economics) (ECR7) Dr. Raju,Friday,10:35-11:30,HS2102,Dr. Raju,,ECR7
276,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS3 (83),- **2:35 -3:30p.m.**: HS2103 (T) French III  | Dr. Balaji Prashanth (ECR 11),Friday,2:35 -3,ECR 11; HS2103,Dr. Balaji Prashanth,,ECR11
277,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS3 (83),- **3:35 -4:30p.m.**: EC 2102 (T)  Dr. Ankita (ECR 11),Friday,3:35 -4,EC 2102; ECR 11,Dr. Ankita,,ECR11
281,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS4 (83)+CM (20),- **10:35-11:30 a.m**: HS2102 (Principles of Economics) (ECR9) Dr. Anagha Tobi,Friday,10:35-11:30,HS2102,Dr. Anagha Tobi,,ECR9
282,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CS4 (83)+CM (20),- **2:35 -3:30p.m.**: HS2103 (T) French III  | Dr. Nidhi Gupta (ECR 13),Friday,2:35 -3,ECR 13; HS2103,Dr. Nidhi Gupta,,ECR13
286,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: ECE (30)+ECM (60) (420.0 students),- **08:25 – 9:20 a.m.**: EC 2101 (Analog and Digital circuits)  | Dr. P. Chaitanya Akshara (ECR 7),Friday,08:25 – 9:20,EC 2101,,,ECR7
287,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: ECE (30)+ECM (60) (420.0 students),- **10:35-11:30 a.m**: EC 2102 (Signals and Systems) Dr. Sayantan (ELT 3),Friday,10:35-11:30,EC 2102,Dr. Sayantan,,ELT3
288,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: ECE (30)+ECM (60) (420.0 students),- **2:35 -3:30p.m.**: PH2102 (Physics II) Dr. Murtaza (E-LT3) /BT 2109 (Microbes&Immune system)Dr. Mittika & Dr. Runa (ETR3),Friday,2:35 -3,BT 2109; PH2102,Dr. Mittika; Dr. Murtaza; Dr. Runa,,ELT3; ETR3
289,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: ECE (30)+ECM (60) (420.0 students),- **3:35 -4:30p.m.**: PH2102 (P),Friday,3:35 -4,PH2102,,,
290,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: ECE (30)+ECM (60) (420.0 students),- **5:35 pm - 6:30 pm**: EC2103 (Optimization Techniques for AI) (only for ECM) Dr. Bhanu Kiran (ECR 7),Friday,5:35 pm - 6:30 pm,EC2103,Dr. Bhanu Kiran,,ECR7
294,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: AI1 (70),- **08:25 – 9:20 a.m.**: HS2103 (T) French III  | Dr. Kumudham (ECR9),Friday,08:25 – 9:20,HS2103,Dr. Kumudham,,ECR9
295,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: AI1 (70),- **09:25 – 10:20 a.m.**: CS/AI 2102 (Design and Analysis of Algorithms) Dr. Ravi Kishor (ELT 5),Friday,09:25 – 10:20,CS/AI 2102,Dr. Ravi Kishor,,ELT5
299,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: AI2 (70),- **08:25 – 9:20 a.m.**: HS2103 (T) French III  | Dr. Sherlin (ECR11),Friday,08:25 – 9:20,ECR11; HS2103,Dr. Sherlin,,ECR11
300,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: AI2 (70),- **11:35 am- 12:30 pm**: PH2102 (P),Friday,11:35 am- 12:30 pm,PH2102,,,
304,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: AI3 (70),- **08:25 – 9:20 a.m.**: HS2103 (T) French III  | Dr. Balaji Prashanth (ECR 13),Friday,08:25 – 9:20,ECR 13; HS2103,Dr. Balaji Prashanth,,ECR13
308,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CB (15)+BT (40),- **08:25 – 9:20 a.m.**: BT 2108 (P) (Enzymes & Metabolism) / CB 2103 (Programming Work shop)Dr. Akankasha Singh and Dr. Varun Kumar (ETR 3),Friday,08:25 – 9:20,BT 2108; CB 2103,Dr. Akankasha Singh; Dr. Varun Kumar,,ETR3
309,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CB (15)+BT (40),- **10:35-11:30 a.m**: HS2103 (T) French III Dr. Nidhi Gupta (ECR 8),Friday,10:35-11:30,HS2103,Dr. Nidhi Gupta,,ECR8
310,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CB (15)+BT (40),- **11:35 am- 12:30 pm**: BT 2108  (Enzymes & Metabolism) only for BT  | Dr. Akankasha Singh and Dr. Varun Kumar (ETR 3),Friday,11:35 am- 12:30 pm,BT 2108,Dr. Akankasha Singh; Dr. Varun Kumar,,ETR3
311,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CB (15)+BT (40),- **12:35 pm- 1:30p.m.**: PH2102 (T) Dr. Kamana (ECR 8),Friday,12:35 pm- 1,PH2102,Dr. Kamana,,ECR8
315,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **08:25 – 9:20 a.m.**: MT 2101 (Signals and Systems) Dr. Ramakant(only for MT) (ETR4),Friday,08:25 – 9:20,MT 2101,Dr. Ramakant,,ETR4
316,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CE (10)+ME (25)+MT (25)+NT (5),"- **09:25 – 10:20 a.m.**: CE 2104 (P) (Building Drawing) only for CE /ME 2107 (Introduction to Material Sciences) (only for ME, MT) Dr. Palash (ECR 8)/ ME 2115 (Thermal Engineering) (only for ME); Dr. Manish (ETR 4)",Friday,09:25 – 10:20,CE 2104; CE/ME 2107; ME 2115,Dr. Manish; Dr. Palash,,ECR8; ETR4
317,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **3:35 -4:30p.m.**: ME2116 (PDEs for Engineers) (7 Weeks) only for ME  | Dr. Prasad (ETR 3),Friday,3:35 -4,ME2116,Dr. Prasad,,ETR3
318,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **4:35 -5:30p.m.**: CE 2103 (T) (Mechanics of Materials) Dr. Visalakshi (ETR 3)/ | PH2103  (Introduction to Physics of Materials) (only for NT) Dr. Anil (ETR 4),Friday,4:35 -5,CE 2103; PH2103,Dr. Anil; Dr. Visalakshi,,ETR3; ETR4
319,2nd Year — Semester 2-1 (2022 Batch) > Friday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **5:35 pm - 6:30 pm**: CH2103 (Introduction to Nano-technology and Science) Dr. Bill Reynolds; only for NT (ETR 3),Friday,5:35 pm - 6:30 pm,CH2103,Dr. Bill Reynolds,,ETR3
325,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: CS1 (83) (355.0 students),- **08:25 – 9:20 a.m.**: HS 2101 (Lean Start-up)   | Dr. S Bharatala (AUDITORIUM),Saturday,08:25 – 9:20,HS 2101,,,Auditorium
326,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: CS1 (83) (355.0 students),- **11:35 am- 12:30 pm**: EC 2102 (Signals and Systems) Dr. Sayantan (ELT 3),Saturday,11:35 am- 12:30 pm,EC 2102,Dr. Sayantan,,ELT3
336,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: ECE (30)+ECM (60) (420.0 students),- **08:25 – 9:20 a.m.**: HS 2101 (Lean Start-up)   | Dr. S Porika (ELT 1),Saturday,08:25 – 9:20,HS 2101,,,ELT1
337,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: ECE (30)+ECM (60) (420.0 students),- **12:35 pm- 1:30p.m.**: EC 2102 (Signals and Systems) Dr. Sayantan (ELT 3),Saturday,12:35 pm- 1,EC 2102,Dr. Sayantan,,ELT3
347,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: CB (15)+BT (40),- **3:35 -4:30p.m.**: CS2104 (P) (Data struture) Dr. nartakannai (IT block 2),Saturday,3:35 -4,CS2104,,,IT Block
351,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **11:35 am- 12:30 pm**: MT 2101 (Signals and Systems) Dr. Ramakant (only for MT) (ETR 3),Saturday,11:35 am- 12:30 pm,MT 2101,Dr. Ramakant,,ETR3
352,2nd Year — Semester 2-1 (2022 Batch) > Saturday > Section: CE (10)+ME (25)+MT (25)+NT (5),- **2:35 -3:30p.m.**: BT1102 (only for NT)  Dr. Santosh Thakur (ETR 3),Saturday,2:35 -3,BT1102,Dr. Santosh Thakur,,ETR3
358,3rd Year — Semester 3-1 (2021 Batch),**Time Slots:** 08:25 – 9:20 a.m. | 09:25 – 10:20 a.m. | 10:35-11:30 a.m | 11:35 am- 12:30 pm | 12:35 pm- 1:30p.m. | 1:35 -2:30p.m. | 2:35 -3:30p.m. | 3:35 -4:30p.m. | 4:35 -5:30p.m. | 5:35 pm - 6:30 pm,Saturday,08:25 – 9:20; 09:25 – 10:20; 10:35-11:30; 11:35 am- 12:30 pm; 12:35 pm- 1; 1:35 -2; 2:35 -3; 3:35 -4; 4:35 -5; 5:35 pm - 6:30 pm,,,,
364,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE1 (62) (265 students),- **08:25 – 9:20 a.m.**: CS/AI 3102(Operating sytsem) Dr. Yayati (ELT 4),Monday,08:25 – 9:20,CS/AI 3102,Dr. Yayati,,ELT4
365,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE1 (62) (265 students),- **09:25 – 10:20 a.m.**: CS 3105 (Object oriented programming) Dr. Veeraiah (EL -4),Monday,09:25 – 10:20,CS 3105,Dr. Veeraiah,,
366,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE1 (62) (265 students),- **10:35-11:30 a.m**: CS/AI 3102 (P) (Operating system) (IT2 block),Monday,10:35-11:30,CS/AI 3102,,,IT2 Block
367,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: CSE1 (62) (265 students),- **12:35 pm- 1:30p.m.**: Lunch,Monday,12:35 pm- 1,,,,
