line_no,section_context,raw_line,days,time_ranges,course_codes,professors,groups,rooms
429,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: NT (6),- **10:35-11:30 a.m**: CH3105 (Nanostructure Characterization Dr. Gomathi (ECR 16),Monday,10:35-11:30,CH3105; ECR 16,Dr. Gomathi,,ECR16
430,3rd Year — Semester 3-1 (2021 Batch) > Monday > Section: NT (6),- **4:35 -5:30p.m.**: PH3101 (P) (Advanced Nanomaterials and Devices) Dr. Anil,Monday,4:35 -5,PH3101,Dr. Anil,,
436,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CSE1 (62) (265 students),- **08:25 – 9:20 a.m.**: CS/AI 3102(Operating sytsem) Dr. Shabnam (ELT 4),Tuesday,08:25 – 9:20,CS/AI 3102,Dr. Shabnam,,ELT4
437,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CSE1 (62) (265 students),- **09:25 – 10:20 a.m.**: CS/AI 3101(Design and Analysis of Algorithms) Dr. Tauheed  (Auditorium),Tuesday,09:25 – 10:20,CS/AI 3101,Dr. Tauheed,,Auditorium
438,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CSE1 (62) (265 students),- **11:35 am- 12:30 pm**: CS/AI3103 (Data base management system) Dr.  Prafulla (ELT 4),Tuesday,11:35 am- 12:30 pm,CS/AI3103,Dr. Prafulla,,ELT4
439,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CSE1 (62) (265 students),- **1:35 -2:30p.m.**: CS 3106 (P) (Microprocessors and Interfacing) (IT2 block),Tuesday,1:35 -2,CS 3106,,,IT2 Block
440,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CSE1 (62) (265 students),- **4:35 -5:30p.m.**: CS 3106 (Microprocessors and Interfacing) Dr. Praveen (ELT 6),Tuesday,4:35 -5,CS 3106,Dr. Praveen,,ELT6
441,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CSE1 (62) (265 students),- **5:35 pm - 6:30 pm**: CS 3105 (Object oriented programming) Dr. Veeraiah (ELT 4),Tuesday,5:35 pm - 6:30 pm,CS 3105,Dr. Veeraiah,,ELT4
451,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CM (19),- **10:35-11:30 a.m**: MA3115 (Computational Methods for PDE) Dr. Satyanarayan (ECR 2),Tuesday,10:35-11:30,MA3115,Dr. Satyanarayan,,ECR2
452,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CM (19),- **1:35 -2:30p.m.**: MA3116 (Financial Maths) Dr. Manoj (ECR 2),Tuesday,1:35 -2,MA3116,Dr. Manoj,,ECR2
453,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CM (19),- **2:35 -3:30p.m.**: MA3117 (Advanced Linear Algebra ) Dr. Ravi Babu (ECR 2),Tuesday,2:35 -3,MA3117,Dr. Ravi Babu,,ECR2
457,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ECM (79) (328 students),- **08:25 – 9:20 a.m.**: EC 3109 (Digital Signal Processing) Dr. Subbarao (ECR 5),Tuesday,08:25 – 9:20,EC 3109,Dr. Subbarao,,ECR5
458,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ECM (79) (328 students),- **1:35 -2:30p.m.**: EC 3103 (Programmable devices) Dr. Bharghava (ECR 5),Tuesday,1:35 -2,EC 3103,Dr. Bharghava,,ECR5
459,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ECM (79) (328 students),- **2:35 -3:30p.m.**: EC 3107 (Web Technologies) Dr. Yashwanth (ECR 5),Tuesday,2:35 -3,EC 3107,Dr. Yashwanth,,ECR5
460,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ECM (79) (328 students),- **4:35 -5:30p.m.**: EC 3107 (P) (Web Technologies),Tuesday,4:35 -5,EC 3107,,,
464,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: AI1 (65),- **10:35-11:30 a.m**: CS/AI 3102(Operating system) Dr. Neeraj (ELT 4),Tuesday,10:35-11:30,CS/AI 3102,Dr. Neeraj,,ELT4
465,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: AI1 (65),- **3:35 -4:30p.m.**: AI 3106 (T1 Foundation of NLP) Dr. Avinash Chauhan (ELT 4),Tuesday,3:35 -4,AI 3106,Dr. Avinash Chauhan,,ELT4
466,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: AI1 (65),- **4:35 -5:30p.m.**: AI 3107  (T2 Digital Image processing) Dr. Deepti Mishra (ELT 4),Tuesday,4:35 -5,AI 3107,Dr. Deepti Mishra,,ELT4
474,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CE (17),- **09:25 – 10:20 a.m.**: CE3115 (Water Resources Engineering) Dr. Prabhakar (ECR 3),Tuesday,09:25 – 10:20,CE3115,Dr. Prabhakar,,ECR3
475,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CE (17),- **10:35-11:30 a.m**: CE3114 (Soil Mechanics) Dr. HariPrasad (ECR 3),Tuesday,10:35-11:30,CE3114,,,ECR3
476,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CE (17),- **11:35 am- 12:30 pm**: CE3113 (Reinforced Concrete Design) Dr. JayaPrakash (ECR 2),Tuesday,11:35 am- 12:30 pm,CE3113,,,ECR2
477,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CE (17),- **1:35 -2:30p.m.**: CE3110 (Transportation Engineering) Dr. Jahnabi (ECR 3),Tuesday,1:35 -2,CE3110,Dr. Jahnabi,,ECR3
478,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: CE (17),- **2:35 -3:30p.m.**: CE3112 (P) (Computing Lab) Dr. HariPrasad/Dr. Dilip,Tuesday,2:35 -3,CE3112,Dr. Dilip,,
482,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ME (13),- **08:25 – 9:20 a.m.**: ME4069 (Stream course I: FEM+CFD combined fractal)  Dr. Gouripriya (ECR 2),Tuesday,08:25 – 9:20,ME4069,Dr. Gouripriya,,ECR2
483,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ME (13),- **09:25 – 10:20 a.m.**: ME3113 (Design of Machine Elements) Dr. Kondaiah (ECR 2),Tuesday,09:25 – 10:20,ME3113,Dr. Kondaiah,,ECR2
484,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ME (13),- **10:35-11:30 a.m**: ME3103 (Introduction to Robotics)/MT3102 (Robotics 1) Dr. Deep (ECR 12),Tuesday,10:35-11:30,ECR 12; ME3103; MT3102,Dr. Deep,,ECR12
485,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ME (13),- **11:35 am- 12:30 pm**: ME3104 (Heat and Mass Transfer) Dr. Sebastian (ECR 12),Tuesday,11:35 am- 12:30 pm,ECR 12; ME3104,Dr. Sebastian,,ECR12
486,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: ME (13),- **3:35 -4:30p.m.**: ME3108 (Metrology and CAM) Dr. Praveen Konka (ECR 3),Tuesday,3:35 -4,ME3108,Dr. Praveen Konka,,ECR3
490,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: MT (20),- **08:25 – 9:20 a.m.**: ME3101 (Manufacturing and Automated Processes) Dr. Abhijit (ECR 14),Tuesday,08:25 – 9:20,ECR 14; ME3101,Dr. Abhijit,,ECR14
491,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: MT (20),- **11:35 am- 12:30 pm**: MT3105 (Power Electronics and Control System) Dr. Pavani (ECR 8),Tuesday,11:35 am- 12:30 pm,MT3105,Dr. Pavani,,ECR8
492,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: MT (20),- **1:35 -2:30p.m.**: MT3107 (BioMedical Instrumentation) Dr. Ashish Kumar Sahu (ECR 10),Tuesday,1:35 -2,ECR 10; MT3107,Dr. Ashish Kumar Sahu,,ECR10
493,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: MT (20),- **2:35 -3:30p.m.**: MT3104 (Capston Project) Dr. Sebasteian (ECR 10),Tuesday,2:35 -3,ECR 10; MT3104,Dr. Sebasteian,,ECR10
497,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **08:25 – 9:20 a.m.**: PH 3101 (Advanced Nanomaterials and Devices)  Anil Annandi (ECR 16),Tuesday,08:25 – 9:20,ECR 16; PH 3101,,,ECR16
498,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **09:25 – 10:20 a.m.**: PH3102 (Nano  Photonics)  Jayasri Dontabhaktuni (ECR 16),Tuesday,09:25 – 10:20,ECR 16; PH3102,,,ECR16
499,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **10:35-11:30 a.m**: MA3115 (Computational Methods for PDE) Dr. Satyanarayan (ECR 16),Tuesday,10:35-11:30,ECR 16; MA3115,Dr. Satyanarayan,,ECR16
500,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **11:35 am- 12:30 pm**: CH3105 (Nanostructure Characterization Dr. Gomathi (ECR 16),Tuesday,11:35 am- 12:30 pm,CH3105; ECR 16,Dr. Gomathi,,ECR16
501,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **1:35 -2:30p.m.**: PH3102 (P) (Nano Photonics) Dr. Jayasri,Tuesday,1:35 -2,PH3102,Dr. Jayasri,,
502,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **3:35 -4:30p.m.**: CH3105 (P) (Nanostructure Characterization) Dr. Gomathi (ECR 2),Tuesday,3:35 -4,CH3105,Dr. Gomathi,,ECR2
503,3rd Year — Semester 3-1 (2021 Batch) > Tuesday > Section: NT (6),- **5:35 pm - 6:30 pm**: PH3101 (Advanced Nanomaterials and Devices) Dr. Anil Annandi (ECR 8 ),Tuesday,5:35 pm - 6:30 pm,PH3101,Dr. Anil Annandi,,ECR8
509,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CSE1 (62) (265 students),- **08:25 – 9:20 a.m.**: CS/AI 3102(Operating system) Dr. Yayati (ELT 4),Wednesday,08:25 – 9:20,CS/AI 3102,Dr. Yayati,,ELT4
510,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CSE1 (62) (265 students),- **10:35-11:30 a.m**: CS/AI3103 (P)(Data base management system) (COMP LAB 1),Wednesday,10:35-11:30,CS/AI3103,,,COMP Lab
511,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CSE1 (62) (265 students),- **1:35 -2:30p.m.**: Seminar/workshop,Wednesday,1:35 -2,,,,
512,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CSE1 (62) (265 students),- **5:35 pm - 6:30 pm**: CS/AI3103 (Data base management system) Dr.  Prafulla (ELT-4),Wednesday,5:35 pm - 6:30 pm,CS/AI3103,Dr. Prafulla,,ELT4
522,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CM (19),- **10:35-11:30 a.m**: MA3116 (Financial Maths) Dr. Manoj (ECR 14),Wednesday,10:35-11:30,ECR 14; MA3116,Dr. Manoj,,ECR14
523,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CM (19),- **11:35 am- 12:30 pm**: MA3117 (Advanced Linear Algebra ) Dr. Ravi Babu (ECR 14),Wednesday,11:35 am- 12:30 pm,ECR 14; MA3117,Dr. Ravi Babu,,ECR14
527,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: ECM (79) (328 students),- **09:25 – 10:20 a.m.**: EC3101 (Optimization Techniques for AI) Dr. Bhanu Kiran (ECR 4),Wednesday,09:25 – 10:20,EC3101,Dr. Bhanu Kiran,,ECR4
531,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: AI1 (65),- **08:25 – 9:20 a.m.**: CS/AI3103 (P)(Data base management system) (COMP LAB 1),Wednesday,08:25 – 9:20,CS/AI3103,,,COMP Lab
532,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: AI1 (65),- **10:35-11:30 a.m**: CS/AI 3102(Operating sytsem)Dr. shabnam (ELT 2),Wednesday,10:35-11:30,CS/AI 3102,,,ELT2
540,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CE (17),- **09:25 – 10:20 a.m.**: CE3115 (Water Resources Engineering) Dr. Prabhakar (ECR 2),Wednesday,09:25 – 10:20,CE3115,Dr. Prabhakar,,ECR2
541,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CE (17),- **10:35-11:30 a.m**: CE3114 (Soil Mechanics) Dr. HariPrasad (ECR 2),Wednesday,10:35-11:30,CE3114,,,ECR2
542,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: CE (17),- **11:35 am- 12:30 pm**: CE3113 (Reinforced Concrete Design) Dr. JayaPrakash (ECR 2),Wednesday,11:35 am- 12:30 pm,CE3113,,,ECR2
546,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: ME (13),- **08:25 – 9:20 a.m.**: ME3108 (Metrology and CAM) Dr. Praveen Konka (ECR 2),Wednesday,08:25 – 9:20,ME3108,Dr. Praveen Konka,,ECR2
547,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: ME (13),- **09:25 – 10:20 a.m.**: ME3103 (Introduction to Robotics)/MT3102 (Robotics 1) Dr. Deep (ECR 3),Wednesday,09:25 – 10:20,ME3103; MT3102,Dr. Deep,,ECR3
548,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: ME (13),- **10:35-11:30 a.m**: ME3102 (Measurement and Instrumentation)  Dr. Ravi (ECR 12),Wednesday,10:35-11:30,ECR 12; ME3102,Dr. Ravi,,ECR12
549,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: ME (13),- **11:35 am- 12:30 pm**: ME3104 (Heat and Mass Transfer) Dr. Sebastian (ECR 3),Wednesday,11:35 am- 12:30 pm,ME3104,Dr. Sebastian,,ECR3
553,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: MT (20),- **11:35 am- 12:30 pm**: MT3105 (Power Electronics and Control System) Dr. Pavani (ECR 12),Wednesday,11:35 am- 12:30 pm,ECR 12; MT3105,Dr. Pavani,,ECR12
557,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: NT (6),- **08:25 – 9:20 a.m.**: PH 3101 (P) Advanced Nanomaterials and Devices) Dr. Anil (ECR 14),Wednesday,08:25 – 9:20,ECR 14; PH 3101,Dr. Anil,,ECR14
558,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: NT (6),- **10:35-11:30 a.m**: CH3106 (Molecular Spectroscopy) Dr. Venkataraman (ETR ),Wednesday,10:35-11:30,CH3106,Dr. Venkataraman,,
559,3rd Year — Semester 3-1 (2021 Batch) > Wednesday > Section: NT (6),- **11:35 am- 12:30 pm**: PH 3101 (Advanced Nanomaterials and Devices)  Dr. Dibkar RC (ECR 10),Wednesday,11:35 am- 12:30 pm,ECR 10; PH 3101,Dr. Dibkar,,ECR10
565,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE1 (62) (265 students),- **10:35-11:30 a.m**: CS 3105 (P) (Object oriented programming)(IT2 Block),Thursday,10:35-11:30,CS 3105,,,IT2 Block
566,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE1 (62) (265 students),- **1:35 -2:30p.m.**: CS 3106 (P) (Microprocessors and Interfacing) (IT2 block),Thursday,1:35 -2,CS 3106,,,IT2 Block
567,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE1 (62) (265 students),- **3:35 -4:30p.m.**: HS 3105 (The World of History and the History of the World) Dr. sehar khwaja (ECR-1)/ HS 3004 (Reading Indian Short Stories) Dr. Monali sahu (ECR-2)/ HS3005 (Topics in Visual Culture I: Advertising and Photogrpahy) Greeshma Mohan (ELT-2)/ HS3101 (Design Everyday Things/ Design Transformation) Sayoni Laha (ETR-4)/ HS 3102 (Continuity film making) Ani Thomas (ETR-3)/ HS 3106 (Exploring the Tangible Heritage of India) Dr. Paromita Das (ECR-14)/ HS 3103 (Identifying & Evaluating Business Opportunities) Dr. Abhinav (ELT-5)/ HS 3001 (Cinema and Philosophy Vegitha Reddy) (ETR-5)/ HS 3109 (Economics of Information) Dr Binay Pathak (ECR-3)/ HS 3110 (Society and Social Change: An Introduction to Sociology) Dr. Mizaj KV (ECR-12)/ HS3007 (Intellectual property rights (IPR) and cyber law)Vinay Sharma (ECR-10),Thursday,3:35 -4,ECR-10; ECR-12; ECR-14; HS 3001; HS 3004; HS 3102; HS 3103; HS 3105; HS 3106; HS 3109; HS 3110; HS3005; HS3007; HS3101,Dr. Abhinav; Dr. Binay Pathak; Dr. Mizaj; Dr. Monali; Dr. Paromita Das,,ECR1; ECR10; ECR12; ECR14; ECR2; ECR3; ELT2; ELT5; ETR3; ETR4; ETR5
568,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE1 (62) (265 students),- **4:35 -5:30p.m.**: CS/AI 3101 (P)(Design and Analysis of Algorithms) (COMP LAB 1 and LAB 2),Thursday,4:35 -5,CS/AI 3101,,,COMP Lab
574,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE3 (62),- **1:35 -2:30p.m.**: CS/AI 3101 (P)(Design and Analysis of Algorithms) (COMP LAB 1 and LAB 2),Thursday,1:35 -2,CS/AI 3101,,,COMP Lab
575,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE3 (62),- **4:35 -5:30p.m.**: CS 3105 (P) (Object oriented programming) (IT2 Block),Thursday,4:35 -5,CS 3105,,,IT2 Block
579,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CSE4 (60),- **08:25 – 9:20 a.m.**: CS/AI3103 (P)(Data base management system) (comp lab 1 FF),Thursday,08:25 – 9:20,CS/AI3103,,,COMP Lab
583,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CM (19),- **10:35-11:30 a.m**: MA3115 (Computational Methods for PDE) Dr. Satyanarayan (ECR-3),Thursday,10:35-11:30,MA3115,Dr. Satyanarayan,,ECR3
587,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: ECM (79) (328 students),- **10:35-11:30 a.m**: EC 3107 (P) (Web Technologies),Thursday,10:35-11:30,EC 3107,,,
588,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: ECM (79) (328 students),- **1:35 -2:30p.m.**: CS/AI 3101 (P)(Design and Analysis of Algorithms) (COMP LAB 3),Thursday,1:35 -2,CS/AI 3101,,,COMP Lab
592,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: AI1 (65),- **09:25 – 10:20 a.m.**: AI 3107  (T2 Digital Image processing) Dr. Deepti Mishra (ELT 6),Thursday,09:25 – 10:20,AI 3107,Dr. Deepti Mishra,,ELT6
593,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: AI1 (65),- **10:35-11:30 a.m**: CS/AI 3101 (P)(Design and Analysis of Algorithms)(IT 2 block),Thursday,10:35-11:30,CS/AI 3101,,,IT2 Block
594,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: AI1 (65),- **1:35 -2:30p.m.**: AI 3106 (T1 Foundation of NLP) Dr. Avinash Chauhan (ELT 4),Thursday,1:35 -2,AI 3106,Dr. Avinash Chauhan,,ELT4
602,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CE (17),- **10:35-11:30 a.m**: CE3114 (Soil Mechanics) Dr. HariPrasad (ECR 2),Thursday,10:35-11:30,CE3114,,,ECR2
603,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CE (17),- **11:35 am- 12:30 pm**: CE3111 (Construction Technology) Dr. Deepti (ECR 2),Thursday,11:35 am- 12:30 pm,CE3111,Dr. Deepti,,ECR2
604,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: CE (17),- **1:35 -2:30p.m.**: CE3114 (P) (Soil Mechanics Lab) Dr. HariPrasad,Thursday,1:35 -2,CE3114,,,
608,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: ME (13),- **08:25 – 9:20 a.m.**: ME4069 (Stream course I: FEM+CFD combined fractal) (P),Thursday,08:25 – 9:20,ME4069,,,
609,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: ME (13),- **10:35-11:30 a.m**: ME3102 (P) (Measurement and Instrumentation) Dr. Ravi (Measurement and instrumentation lab),Thursday,10:35-11:30,ME3102,Dr. Ravi,,
610,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: ME (13),- **1:35 -2:30p.m.**: ME3101 (P) (Fluid and Solid Mechanics lab) Fluid Mechanics lab (near workshop),Thursday,1:35 -2,ME3101,,,
611,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: ME (13),- **4:35 -5:30p.m.**: ME3113 (Design of Machine Elements) Dr. Kondaiah (ECR 2),Thursday,4:35 -5,ME3113,Dr. Kondaiah,,ECR2
615,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: MT (20),- **08:25 – 9:20 a.m.**: MT3107 (BioMedical Instrumentation) Dr. Ashish Kumar (ECR 2),Thursday,08:25 – 9:20,MT3107,Dr. Ashish Kumar,,ECR2
616,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: MT (20),- **10:35-11:30 a.m**: ME3101 (P) (Manufacturing and Automated Processes) Dr. Abhijit 	 | (Mechanical workshop),Thursday,10:35-11:30,ME3101,Dr. Abhijit,,
617,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: MT (20),- **1:35 -2:30p.m.**: ME3102 (P) (Measurement and Instrumentation)(Measurement and instrumentation lab),Thursday,1:35 -2,ME3102,,,
621,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: NT (6),- **08:25 – 9:20 a.m.**: CH3106 (Molecular Spectroscopy) Dr. Venkataraman (ECR 3),Thursday,08:25 – 9:20,CH3106,Dr. Venkataraman,,ECR3
622,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: NT (6),- **09:25 – 10:20 a.m.**: PH3102 (Nano  Photonics) Jayasri Dontabhaktuni (ECR 3),Thursday,09:25 – 10:20,PH3102,,,ECR3
623,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: NT (6),- **10:35-11:30 a.m**: MA3115 (Computational Methods for PDE) Dr. Satyanarayan (ECR-3),Thursday,10:35-11:30,MA3115,Dr. Satyanarayan,,ECR3
624,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: NT (6),- **11:35 am- 12:30 pm**: CH3105 (Nanostructure Characterization Dr. Gomathi (ECR 3),Thursday,11:35 am- 12:30 pm,CH3105,Dr. Gomathi,,ECR3
625,3rd Year — Semester 3-1 (2021 Batch) > Thursday > Section: NT (6),- **5:35 pm - 6:30 pm**: PH3101 (Advanced Nanomaterials and Devices) Dr. Dibkar RC (ECR 8),Thursday,5:35 pm - 6:30 pm,PH3101,Dr. Dibkar,,ECR8
631,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CSE1 (62) (265 students),- **08:25 – 9:20 a.m.**: CS3104 (Programming Workshop) Dr. Sukhija (IT2 block),Friday,08:25 – 9:20,CS3104,Dr. Sukhija,,IT2 Block
632,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CSE1 (62) (265 students),- **11:35 am- 12:30 pm**: HS 3105 (The World of History and the History of the World) Dr. Sehar Khwaja (ECR-13)/ HS 3004 (Reading Indian Short Stories) Dr. Monali Sahu (ECR-10)/ HS3005 (Topics in Visual Culture I: Advertising and Photogrpahy) Greeshma Mohan (ECR-15)/ HS3101 (Design Everyday Things/ Design Transformation) Raj Narayanan (ETR-5)/ HS 3102 (Continuity film making) Tamal Kanti (ECR-8)/ HS 3106 (Exploring the Tangible Heritage of India) Dr. Paromita Das(ECR-12)/ HS 3103 (Identifying & Evaluating Business Opportunities) Dr. Abhinav Chaturvedi (ECR-11)/ HS 3001 (Cinema and Philosophy) Vegitha Reddy (ECR-16)/ HS 3109 (Economics of Information) Dr. Binay Pathak (ECR-14)/ HS 3110 (Society and Social Change: An Introduction to Sociology) Dr. Mizaj KV (ECR-3)/ HS3007 (Intellectual property rights (IPR) and cyber law) Vinay Sharma (ECR-2).,Friday,11:35 am- 12:30 pm,ECR-10; ECR-11; ECR-12; ECR-13; ECR-14; ECR-15; ECR-16; HS 3001; HS 3004; HS 3102; HS 3103; HS 3105; HS 3106; HS 3109; HS 3110; HS3005; HS3007; HS3101,Dr. Abhinav Chaturvedi; Dr. Binay Pathak; Dr. Mizaj; Dr. Monali Sahu; Dr. Paromita Das; Dr. Sehar Khwaja,,ECR10; ECR11; ECR12; ECR13; ECR14; ECR15; ECR16; ECR2; ECR3; ECR8; ETR5
633,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CSE1 (62) (265 students),- **1:35 -2:30p.m.**: CS/AI 3101(Design and Analysis of Algorithms) Dr. Tauheed  (AUDITORIUM),Friday,1:35 -2,CS/AI 3101,Dr. Tauheed,,Auditorium
639,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CSE3 (62),- **4:35 -5:30p.m.**: CS 3106 (P) (Microprocessors and Interfacing)  (IT2 block),Friday,4:35 -5,CS 3106,,,IT2 Block
645,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CM (19),- **08:25 – 9:20 a.m.**: MA 3118 (Programming Workshop)  Manoj Kumar Yadav (comp Lab 2),Friday,08:25 – 9:20,MA 3118,,,COMP Lab
646,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CM (19),- **10:35-11:30 a.m**: MA3115 (T) (Computational Methods for PDE) Dr. Satyanarayan (ECR 10),Friday,10:35-11:30,ECR 10; MA3115,Dr. Satyanarayan,,ECR10
650,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: ECM1 (79) (328 students),- **09:25 – 10:20 a.m.**: EC3101 (T) (Optimization Techniques for AI) Dr. Bhanu Kiran (ECR 13),Friday,09:25 – 10:20,EC3101; ECR 13,Dr. Bhanu Kiran,,ECR13
651,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: ECM1 (79) (328 students),- **4:35 -5:30p.m.**: EC3101 (Optimization Techniques for AI) Dr. Bhanu Kiran (ECR 13),Friday,4:35 -5,EC3101; ECR 13,Dr. Bhanu Kiran,,ECR13
655,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: AI1 (65),- **2:35 -3:30p.m.**: AI3104 (Programming Workshop) Dr. Nidhi (IT2 block),Friday,2:35 -3,AI3104,Dr. Nidhi,,IT2 Block
663,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CE (17),- **09:25 – 10:20 a.m.**: CE3113 (T) (Reinforced Concrete Design) Dr. JayaPrakash (ECR 3),Friday,09:25 – 10:20,CE3113,,,ECR3
664,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CE (17),- **10:35-11:30 a.m**: CE3110 (Transportation Engineering) Dr. Jahnabi (ECR 3),Friday,10:35-11:30,CE3110,Dr. Jahnabi,,ECR3
665,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: CE (17),- **1:35 -2:30p.m.**: CE3110 (P) (Transportation Engineering Lab) Dr. Jahnabi,Friday,1:35 -2,CE3110,Dr. Jahnabi,,
669,3rd Year — Semester 3-1 (2021 Batch) > Friday > Section: ME (13),- **08:25 – 9:20 a.m.**: ME4069 (Stream course I: FEM+CFD combined fractal) Dr. Prasad (ECR 3),Friday,08:25 – 9:20,ME4069,Dr. Prasad,,ECR3
